Departamento;Municipio;Semester;count;min;max;mean;std,
ANTIOQUIA;COCORNÁ;2023-S1;47128;0.0;8.8;0.03646027839076557;0.2554077132718415,
CASANARE;TÁMARA;2023-S1;53610;0.0;9.0;0.08014922589069202;0.34654515450370654,
NORTE DE SANTANDER;CONVENCIÓN;2023-S1;42516;0.0;5.4;0.009236522720858032;0.11315276132593638,
BOLIVAR;CARTAGENA DE INDIAS;2023-S1;16926;0.0;23.2;0.007562330142975304;0.2762432107339734,
QUINDÍO;ARMENIA;2023-S1;24188;0.0;16.081;0.03851149330246403;0.34317770894733074,
RISARALDA;PEREIRA;2023-S1;97430;0.0;12.7;0.02029867597249307;0.18732274863405696,
BOLIVAR;ACHÍ;2023-S1;25365;0.0;20.9;0.03943623102700571;0.5228074476048333,
MAGDALENA;ARACATACA;2023-S1;35336;0.0;5.2;0.0032771111614217797;0.07027418265560292,
META;LEJANÍAS;2023-S1;53087;0.0;9.7;0.03922805960027879;0.3038996556035067,
CALDAS;ANSERMA;2023-S1;51871;0.0;11.6;0.021836864529313105;0.20294892585011146,
NARIÑO;TANGUA;2023-S1;50862;0.0;11.9;0.023424167354803196;0.17470169656517587,
SANTANDER;LEBRIJA;2023-S1;24786;0.0;3.11;0.00012547405793593156;0.019754096288637127,
CALDAS;SUPIA;2023-S1;39395;0.0;9.3;0.020233532174133775;0.1870307484770068,
ANTIOQUIA;RIONEGRO;2023-S1;35102;0.0;12.375;0.022319896302205003;0.20734322960342985,
BOLIVAR;MAGANGUÉ;2023-S1;58033;0.0;22.7;0.031957679251460376;0.3351005492941466,
CALDAS;PENSILVANIA;2023-S1;34588;0.0;8.6;0.041913380363131726;0.2665825270855001,
NORTE DE SANTANDER;GRAMALOTE;2023-S1;40497;0.0;15.2;0.019633553102698965;0.23387229536968815,
LA GUAJIRA;MAICAO;2023-S1;24947;0.0;14.3;0.012117689501743694;0.23730045459494387,
CALDAS;MANZANARES;2023-S1;54847;0.0;12.4;0.031972578263168454;0.2531756114152205,
BOYACÁ;CHISCAS;2023-S1;70374;0.0;28.1;0.007570977917981072;0.314257165184726,
VALLE DEL CAUCA;DAGUA;2023-S1;41289;0.0;5.1;0.008658480466952457;0.08451546953662699,
CALDAS;MANIZALES;2023-S1;156970;0.0;14.6;0.021914378543670766;0.18740799022532567,
TOLIMA;IBAGUÉ;2023-S1;56958;0.0;14.1;0.01802556269531936;0.18569480265801197,
TOLIMA;LÍBANO;2023-S1;52919;0.0;10.0;0.023125909408718986;0.22684039565730285,
CESAR;VALLEDUPAR;2023-S1;52480;0.0;14.1;0.014204839939024392;0.26340383737968837,
ANTIOQUIA;VALDIVIA;2023-S1;34805;0.0;0.1;2.2985203275391468e-05;0.0015159347065864567,
ANTIOQUIA;SONSÓN;2023-S1;46750;0.0;6.1;0.016817112299465243;0.14098646072154042,
CAUCA;BALBOA;2023-S1;45888;0.0;8.6;0.025274581589958163;0.1879986328688444,
ATLÁNTICO;SUAN;2023-S1;25043;0.0;7.0;0.00486762768038973;0.10204690416049149,
VALLE DEL CAUCA;JAMUNDÍ;2023-S1;46213;0.0;8.2;0.03221604310475407;0.23450587449437535,
NORTE DE SANTANDER;CHINÁCOTA;2023-S1;45592;0.0;7.2;0.01765002632040709;0.15463328342922267,
BOLÍVAR;CARTAGENA DE INDIAS;2023-S1;25081;0.0;0.4;6.778039153143815e-05;0.0037350700847579945,
QUINDÍO;MONTENEGRO;2023-S1;45415;0.0;9.0;0.022312011449961467;0.21244379332759777,
NARIÑO;ALDANA;2023-S1;20700;0.0;10.675;0.02493550724637681;0.19904658795405708,
NORTE DE SANTANDER;CUCUTILLA;2023-S1;44335;0.0;3.8;0.01034397203112665;0.09133233045940456,
NARIÑO;SANDONÁ;2023-S1;14046;0.0;4.1;0.009810622241207462;0.08816312926852164,
MAGDALENA;SANTA MARTA;2023-S1;80280;0.0;4.4;0.023507722969606376;0.15756386275672066,
NARIÑO;CONSACÁ;2023-S1;47424;0.0;7.1;0.014686656545209177;0.12760915816039595,
HUILA;LA PLATA;2023-S1;47151;0.0;6.5;0.016949799580072533;0.15955357392350256,
QUINDÍO;BUENAVISTA;2023-S1;47462;0.0;8.1;0.026979478319497704;0.2389357676184668,
HUILA;NEIVA;2023-S1;41661;0.0;20.5;0.014605986414152325;0.3045243040919607,
TOLIMA;ROVIRA;2023-S1;42309;0.0;7.5;0.0213949750644071;0.18595969342062849,
CUNDINAMARCA;LA CALERA;2023-S1;31156;0.0;6.2;0.014331107972782128;0.12271878105213795,
